n,d,n_circuit,n_gen,risk,cost
3,6,8,20,0.001884827,0.6560507682811967
3,7,8,20,0.000997259,0.698703846149125
3,8,8,20,0.0006316789999999,0.718043065461364
3,9,8,20,0.0006930869999999,0.8221738130190893
3,10,8,20,1.4111499999999978e-05,0.7836347306748394
3,11,8,20,5.394799999999991e-05,0.8793082772347155
3,12,8,20,4.109349999999998e-05,0.8658184903797836
3,13,8,20,1.019e-06,0.8709113527459167
3,14,8,20,1.333100000000008e-05,0.8814232222905309
3,5,8,30,0.0020003855,0.6651052282576693
3,6,8,30,0.003205591,0.645441830070102
3,7,8,30,0.0027265865,0.7730093587617703
3,8,8,30,0.005487003,0.7798218768010254
3,9,8,30,2.1411499999999976e-05,0.7172226904097628
3,10,8,30,0.0001701795,0.8118486310474449
3,11,8,30,1.5050499999999986e-05,0.8315772051568991
3,12,8,30,3.8790000000000166e-06,0.8512150980370168
3,13,8,30,2.7854999999999943e-06,0.9191544733235488
3,14,8,30,1.1884999999999992e-05,0.9094967053365997
3,5,8,40,0.0003524299999999,0.6578771338650131
3,6,8,40,0.000747447,0.646380731807086
3,7,8,40,0.0007152554999999,0.680436999775313
3,8,8,40,0.0004123894999999,0.7727680759799651
3,9,8,40,0.0002296515,0.7609183871705419
3,10,8,40,5.587750000000015e-05,0.8287235218617495
3,11,8,40,0.000630457,0.8229949887787849
3,12,8,40,1.0988500000000012e-05,0.8242540887905816
3,13,8,40,5.134500000000002e-06,0.8993226990111192
3,14,8,40,6.53950000000003e-06,0.8814078947975542
3,5,8,50,0.000763857,0.6844271758770184
3,6,8,50,0.0004242574999999,0.6461257685424405
3,7,8,50,0.0008563725,0.6704281016400281
3,8,8,50,1.3165000000000004e-05,0.7928827326787584
3,9,8,50,0.0030678894999999,0.7577676819046593
3,10,8,50,0.000749583,0.791963022127453
3,11,8,50,0.0017624554999999,0.8003266150032655
3,12,8,50,2.6254999999999946e-06,0.8986445242960004
3,13,8,50,6.88300000000001e-06,0.9308883191837988
3,14,8,50,4.618499999999993e-06,0.9041382228982158
3,5,16,10,0.001535077,0.6617295493807902
3,6,16,10,7.4129e-05,0.7806966018833775
3,7,16,10,0.0001312069999999,0.7728799867036106
3,8,16,10,0.001685638,0.7532660148813062
3,9,16,10,3.224500000000004e-06,0.7702182218439668
3,10,16,10,1.1071499999999984e-05,0.8873724410361813
3,11,16,10,7.73275e-05,0.8569771621958724
3,12,16,10,2.8738000000000025e-05,0.8186995920961374
3,13,16,10,3.940499999999995e-06,0.8865335465071673
3,14,16,10,3.6075e-06,0.9027109986266456
3,5,16,20,0.000426373,0.6759547639098036
3,6,16,20,9.3305e-05,0.6539116559346294
3,7,16,20,0.000722222,0.6952251426957249
3,8,16,20,0.0007464695,0.8097435354284934
3,9,16,20,8.48255000000001e-05,0.8058107401760148
3,10,16,20,2.969999999999998e-06,0.852052131987716
3,11,16,20,5.051999999999999e-06,0.8539992623431694
3,12,16,20,3.7879999999999936e-06,0.8783440277103922
3,13,16,20,4.964000000000003e-05,0.855701418982284
3,14,16,20,1.716299999999999e-05,0.9047378708168315
3,5,16,30,0.0052393629999999,0.6429840236433644
3,6,16,30,0.000273611,0.7705772879061132
3,7,16,30,0.000653963,0.6689078839073301
3,8,16,30,0.001900302,0.7199890715529988
3,9,16,30,0.0001341015,0.8452608565913801
3,10,16,30,0.0002025485,0.8076033609670134
3,11,16,30,3.55499999999999e-07,0.9032141291153292
3,12,16,30,7.801499999999993e-06,0.8852335978581909
3,13,16,30,1.1298500000000004e-05,0.8960348921290364
3,14,16,30,1.0902000000000002e-05,0.9006921365069628
3,5,16,40,0.0026259504999999,0.6834469784098366
3,6,16,40,0.009681107,0.6507465343316953
3,7,16,40,7.847750000000001e-05,0.7097727804324485
3,8,16,40,0.0007400175,0.7504846835858632
3,9,16,40,0.0005323989999999,0.793302044039342
3,10,16,40,0.0011489765,0.7942026210708388
3,11,16,40,0.00024744,0.8046507296750189
3,12,16,40,1.1207999999999997e-05,0.8415218861790665
3,13,16,40,4.739499999999995e-06,0.8744465216700581
3,14,16,40,9.43499999999999e-07,0.898414857223551
3,5,16,50,0.0050579569999999,0.6944085738264023
3,6,16,50,3.227600000000001e-05,0.7391353726382869
3,7,16,50,0.0017425815,0.7085310611286928
3,8,16,50,0.0074341865,0.7066677215926498
3,9,16,50,8.683000000000012e-06,0.815178156034999
3,10,16,50,4.394999999999996e-07,0.7721882850706911
3,11,16,50,1.8715000000000027e-06,0.8826369995075897
3,12,16,50,9.03995e-05,0.8830712446817233
3,13,16,50,6.813000000000031e-06,0.9161910204821888
3,14,16,50,1.3094999999999908e-06,0.8823051299786714
3,5,32,10,0.001200743,0.6473557713397421
3,6,32,10,0.0012037355,0.6947345717023372
3,7,32,10,2.101849999999997e-05,0.7403888974330828
3,8,32,10,0.0012039954999999,0.7281435377719465
3,9,32,10,1.49455e-05,0.8171207835934483
3,10,32,10,8.465750000000003e-05,0.8250672194149485
3,11,32,10,0.0001948795,0.8595376372603776
3,12,32,10,2.169000000000003e-06,0.9252971280526532
3,13,32,10,7.508999999999988e-06,0.9023659853808536
3,14,32,10,7.749000000000024e-06,0.9093619227239464
3,5,32,20,0.0030139529999999,0.6356096309223902
3,6,32,20,0.000784363,0.7660640103088083
3,7,32,20,0.000274351,0.7230671285162896
3,8,32,20,0.000165166,0.8126192829953915
3,9,32,20,1.454499999999999e-06,0.8567073251393733
3,10,32,20,2.106499999999995e-06,0.8154390943303271
3,11,32,20,1.725500000000001e-06,0.901783246650908
3,12,32,20,1.2363e-05,0.8798162723170556
3,13,32,20,2.3883500000000003e-05,0.8714298419931042
3,14,32,20,2.2280000000000056e-06,0.931457165738892
3,5,32,30,0.0004027429999999,0.6744144085115606
3,6,32,30,0.0013173594999999,0.6998054024902889
3,7,32,30,7.1370000000000165e-06,0.7513293749963359
3,8,32,30,5.462350000000006e-05,0.7874867891271399
3,9,32,30,0.0001415379999999,0.8331281847562753
3,10,32,30,1.5565999999999993e-05,0.8179192728408042
3,11,32,30,1.822749999999995e-05,0.8720821571591264
3,12,32,30,1.0145000000000027e-05,0.90623807309808
3,13,32,30,2.953000000000001e-06,0.918114052723442
3,14,32,30,8.553500000000012e-06,0.9075309720175488
3,5,32,40,9.804549999999994e-05,0.6879924966263017
3,6,32,40,0.0020172555,0.6693709445256492
3,7,32,40,0.0001296705,0.7413603218665313
3,8,32,40,0.0001042809999999,0.8019446257344833
3,9,32,40,2.46395e-05,0.8586748696246991
3,10,32,40,3.0133499999999995e-05,0.8721026127505755
3,11,32,40,5.40899999999999e-06,0.8718875308592123
3,12,32,40,0.000156307,0.8843231233045575
3,13,32,40,1.6049999999999952e-06,0.9120317950117632
3,14,32,40,2.3714999999999967e-06,0.9117278657889092
3,5,32,50,0.0020161655,0.7007577242136206
3,6,32,50,0.001736016,0.7106491471915944
3,7,32,50,0.0036585975,0.7296740361832084
3,8,32,50,0.0001060899999999,0.8086749452446998
3,9,32,50,3.431500000000008e-06,0.827274185997109
3,10,32,50,9.715499999999995e-06,0.7950263679131638
3,11,32,50,3.2039999999999963e-06,0.8789247809920248
3,12,32,50,1.0887000000000016e-05,0.8903166537670838
3,13,32,50,1.3994999999999997e-06,0.9077643024331497
3,14,32,50,1.1335000000000007e-06,0.9260998677809422
4,10,4,10,0.0,0.0
4,11,4,10,0.0,0.0
4,12,4,10,0.0,0.0
4,13,4,10,0.0,0.0
4,14,4,10,0.0,0.0
4,15,4,10,0.0,0.7268900000000001
4,16,4,10,0.0,0.77329
4,17,4,10,0.0,0.79145
4,18,4,10,0.0,0.0
4,19,4,10,0.0,0.0
4,20,4,10,0.0,0.0
4,21,4,10,0.0,0.0
4,22,4,10,0.0,0.0
4,23,4,10,0.0,0.0
4,24,4,10,0.0,0.0
4,25,4,10,0.0,0.0
4,26,4,10,0.0,0.0
4,27,4,10,0.0,0.0
4,28,4,10,0.0,0.0
4,29,4,10,0.0,0.0
4,10,4,20,0.0,0.0
4,11,4,20,0.0,0.0
4,12,4,20,0.0,0.0
4,13,4,20,0.0,0.0
4,14,4,20,0.0,0.0
4,15,4,20,0.0,0.6880299999999999
4,16,4,20,0.0,0.7206899999999999
4,17,4,20,0.0,0.74902
4,18,4,20,0.0,0.0
4,19,4,20,0.0,0.0
4,20,4,20,0.0,0.0
4,21,4,20,0.0,0.0
4,22,4,20,0.0,0.0
4,23,4,20,0.0,0.0
4,24,4,20,0.0,0.0
4,25,4,20,0.0,0.0
4,26,4,20,0.0,0.0
4,27,4,20,0.0,0.0
4,28,4,20,0.0,0.0
4,29,4,20,0.0,0.0
4,10,4,30,0.0,0.0
4,11,4,30,0.0,0.0
4,12,4,30,0.0,0.0
4,13,4,30,0.0,0.0
4,14,4,30,0.0,0.0
4,15,4,30,0.0,0.7264200000000001
4,16,4,30,0.0,0.69579
4,17,4,30,0.0,0.7276
4,18,4,30,0.0,0.0
4,19,4,30,0.0,0.0
4,20,4,30,0.0,0.0
4,21,4,30,0.0,0.0
4,22,4,30,0.0,0.0
4,23,4,30,0.0,0.0
4,24,4,30,0.0,0.0
4,25,4,30,0.0,0.0
4,26,4,30,0.0,0.0
4,27,4,30,0.0,0.0
4,28,4,30,0.0,0.0
4,29,4,30,0.0,0.0
4,10,4,40,0.0,0.0
4,11,4,40,0.0,0.0
4,12,4,40,0.0,0.0
4,13,4,40,0.0,0.0
4,14,4,40,0.0,0.0
4,15,4,40,0.0,0.7366900000000001
4,16,4,40,0.0,0.77063
4,17,4,40,0.0,0.7702100000000001
4,18,4,40,0.0,0.8433900000000001
4,19,4,40,0.0,0.0
4,20,4,40,0.0,0.0
4,21,4,40,0.0,0.0
4,22,4,40,0.0,0.0
4,23,4,40,0.0,0.0
4,24,4,40,0.0,0.0
4,25,4,40,0.0,0.0
4,26,4,40,0.0,0.0
4,27,4,40,0.0,0.0
4,28,4,40,0.0,0.0
4,29,4,40,0.0,0.0
4,10,4,50,0.0,0.0
4,11,4,50,0.0,0.0
4,12,4,50,0.0,0.0
4,13,4,50,0.0,0.0
4,14,4,50,0.0,0.0
4,15,4,50,0.0,0.73368
4,16,4,50,0.0,0.7255999999999999
4,17,4,50,0.0,0.7200599999999999
4,18,4,50,0.0,0.0
4,19,4,50,0.0,0.0
4,20,4,50,0.0,0.0
4,21,4,50,0.0,0.0
4,22,4,50,0.0,0.0
4,23,4,50,0.0,0.0
4,24,4,50,0.0,0.0
4,25,4,50,0.0,0.0
4,26,4,50,0.0,0.0
4,27,4,50,0.0,0.0
4,28,4,50,0.0,0.0
4,29,4,50,0.0,0.0
4,10,8,10,0.0,0.0
4,11,8,10,0.0,0.0
4,12,8,10,0.0,0.0
4,13,8,10,0.0,0.0
4,14,8,10,0.0,0.0
4,15,8,10,0.0,0.71211
4,16,8,10,0.0,0.75376
4,17,8,10,0.0,0.76298
4,18,8,10,0.0,0.0
4,19,8,10,0.0,0.0
4,20,8,10,0.0,0.0
4,21,8,10,0.0,0.0
4,22,8,10,0.0,0.0
4,23,8,10,0.0,0.0
4,24,8,10,0.0,0.0
4,25,8,10,0.0,0.0
4,26,8,10,0.0,0.0
4,27,8,10,0.0,0.0
4,28,8,10,0.0,0.0
4,29,8,10,0.0,0.0
4,10,8,20,0.0,0.0
4,11,8,20,0.0,0.0
4,12,8,20,0.0,0.0
4,13,8,20,0.0,0.0
4,14,8,20,0.0,0.0
4,15,8,20,0.0,0.76893
4,16,8,20,0.0,0.7550299999999999
4,17,8,20,0.0,0.8356199999999999
4,18,8,20,0.0,0.0
4,19,8,20,0.0,0.0
4,20,8,20,0.0,0.0
4,21,8,20,0.0,0.0
4,22,8,20,0.0,0.0
4,23,8,20,0.0,0.0
4,24,8,20,0.0,0.0
4,25,8,20,0.0,0.0
4,26,8,20,0.0,0.0
4,27,8,20,0.0,0.0
4,28,8,20,0.0,0.0
4,29,8,20,0.0,0.0
4,10,8,30,0.0,0.0
4,11,8,30,0.0,0.0
4,12,8,30,0.0,0.0
4,13,8,30,0.0,0.0
4,14,8,30,0.0,0.0
4,15,8,30,0.0,0.7311
4,16,8,30,0.0,0.7367999999999999
4,17,8,30,0.0,0.73835
4,18,8,30,0.0,0.0
4,19,8,30,0.0,0.0
4,20,8,30,0.0,0.0
4,21,8,30,0.0,0.0
4,22,8,30,0.0,0.0
4,23,8,30,0.0,0.0
4,24,8,30,0.0,0.0
4,25,8,30,0.0,0.0
4,26,8,30,0.0,0.0
4,27,8,30,0.0,0.0
4,28,8,30,0.0,0.0
4,29,8,30,0.0,0.0
4,10,8,40,0.0,0.0
4,11,8,40,0.0,0.0
4,12,8,40,0.0,0.0
4,13,8,40,0.0,0.0
4,14,8,40,0.0,0.0
4,15,8,40,0.0,0.7848
4,16,8,40,0.0,0.7849299999999999
