n,d,n_circuit,n_gen,cost
4,14,4,50,0.7283543437068781
4,15,4,50,0.73368
4,16,4,50,0.7255999999999999
4,17,4,50,0.7200599999999999
4,18,4,50,0.7820792064961959
4,19,4,50,0.7581152140406543
4,20,4,50,0.8434690831150837
4,21,4,50,0.863595769507395
4,22,4,50,0.8458691366659099
4,23,4,50,0.8298633339842405
4,24,4,50,0.9015823260772572
4,25,4,50,0.9085566811738564
4,26,4,50,0.9385163678405848
4,27,4,50,0.942057477477696
4,28,4,50,0.9069476881910614
4,29,4,50,0.9216708553855828
4,5,8,10,0.4359115640317702
4,6,8,10,0.5100680722344604
4,7,8,10,0.5003453357824392
4,8,8,10,0.53876110010493
4,9,8,10,0.5495911533614437
4,10,8,10,0.6174992952617069
4,11,8,10,0.6198680262943551
4,12,8,10,0.6906698517435613
4,13,8,10,0.6869064900238818
4,14,8,10,0.7247884373853003
4,15,8,10,0.71211
4,16,8,10,0.75376
4,17,8,10,0.76298
4,18,8,10,0.8561791979377631
4,19,8,10,0.8254989765361787
4,20,8,10,0.8477433500548379
4,21,8,10,0.8602570784726999
4,22,8,10,0.8878596963730365
4,23,8,10,0.8962472804440924
4,24,8,10,0.9189949021655138
4,25,8,10,0.929643825214729
4,26,8,10,0.9424653613303108
4,27,8,10,0.9290131694847504
4,28,8,10,0.9352734400499878
4,29,8,10,0.9405116979826126
4,5,8,20,0.4529823464208515
4,6,8,20,0.529873813833088
4,7,8,20,0.4884159348728903
4,8,8,20,0.5835788758462555
4,9,8,20,0.5484271669256646
4,10,8,20,0.5923624385958186
4,11,8,20,0.5830839069359027
4,12,8,20,0.6433918271459972
4,13,8,20,0.6787478181289466
4,14,8,20,0.7398819814569843
4,15,8,20,0.76893
4,16,8,20,0.7550299999999999
4,17,8,20,0.8356199999999999
4,18,8,20,0.8118461866702539
4,19,8,20,0.8420470816330127
4,20,8,20,0.8619126484174517
4,21,8,20,0.8590148425103884
4,22,8,20,0.8621907157504138
4,23,8,20,0.90201057014967
4,24,8,20,0.9149946569432232
4,25,8,20,0.8825877298470625
4,26,8,20,0.9073902395553248
4,27,8,20,0.9287207444699794
4,28,8,20,0.9228131548697864
4,29,8,20,0.9434514908019652
4,5,8,30,0.4485067513483073
4,6,8,30,0.5232579996430429
4,7,8,30,0.5621035810455007
4,8,8,30,0.5860640319160193
4,9,8,30,0.5747190505785269
4,10,8,30,0.5991435743062958
4,11,8,30,0.6189544125433712
4,12,8,30,0.6597395148506658
4,13,8,30,0.6508194710776161
4,14,8,30,0.694305279764008
4,15,8,30,0.7311
4,16,8,30,0.7367999999999999
4,17,8,30,0.73835
4,18,8,30,0.8144352746092787
4,19,8,30,0.8412644916098083
4,20,8,30,0.8336235173800937
4,21,8,30,0.8621783843014394
4,22,8,30,0.8745362108683853
4,23,8,30,0.8625573183987431
4,24,8,30,0.9110434391703126
4,25,8,30,0.9371926557824948
4,26,8,30,0.920154184845176
4,27,8,30,0.9268801552416572
4,28,8,30,0.941384820842259
4,29,8,30,0.9505252099270776
4,5,8,40,0.4731216829450076
4,6,8,40,0.5579647915262267
4,7,8,40,0.5596317370471592
4,8,8,40,0.56161945562799
4,9,8,40,0.5737786813511028
4,10,8,40,0.5780955253446944
4,11,8,40,0.6400288088687769
4,12,8,40,0.6738674888217783
4,13,8,40,0.6987571477079515
4,14,8,40,0.7178253526333352
4,15,8,40,0.7848
4,16,8,40,0.7849299999999999
4,17,8,40,0.7906899999999999
4,18,8,40,0.7980829965791408
4,19,8,40,0.8372868198576604
4,20,8,40,0.8422512477253971
4,21,8,40,0.8685926010567728
4,22,8,40,0.8477513956567313
4,23,8,40,0.8783432975106518
4,24,8,40,0.8888483140171772
4,25,8,40,0.9179391758067886
4,26,8,40,0.9188198218130432
4,27,8,40,0.9238611881401432
4,28,8,40,0.928497382814872
4,29,8,40,0.9456494057113136
4,5,8,50,0.520648780467216
4,6,8,50,0.4660159898310854
4,7,8,50,0.510615904747661
4,8,8,50,0.5665140875464633
4,9,8,50,0.5927336313353267
4,10,8,50,0.5793393762349149
4,11,8,50,0.6630318013187776
4,12,8,50,0.649633916639175
4,13,8,50,0.7790840859755528
4,14,8,50,0.7149812492411044
4,15,8,50,0.70458
4,16,8,50,0.7155799999999999
4,17,8,50,0.7773500000000001
4,18,8,50,0.795757070554482
4,19,8,50,0.8412714349879801
4,20,8,50,0.8527703413056823
4,21,8,50,0.8758677488808493
4,22,8,50,0.856047741252835
4,23,8,50,0.8954682546543815
4,24,8,50,0.9153642370646236
4,25,8,50,0.9099514461298378
4,26,8,50,0.924426642167402
4,27,8,50,0.9201318599312048
4,28,8,50,0.9405204702927772
4,29,8,50,0.9472001813872764
4,5,16,10,0.4836835046860489
4,6,16,10,0.4718217149059264
4,7,16,10,0.5188676002677207
4,8,16,10,0.5216677235174062
4,9,16,10,0.6051858108858188
4,10,16,10,0.5546964658233171
4,11,16,10,0.6295172820697121
4,12,16,10,0.6381012064273064
4,13,16,10,0.6775039575643379
4,14,16,10,0.7317693999287497
4,15,16,10,0.72209
4,16,16,10,0.81003
4,17,16,10,0.7894
4,18,16,10,0.8360827258607884
4,19,16,10,0.876088731627479
4,20,16,10,0.8799608948951899
4,21,16,10,0.8520034178019742
4,22,16,10,0.8974230314332681
4,23,16,10,0.9025165357758668
